0,1,2,3,4,5,6,7,8
Date,Open,High,Low,Close,Adj,Close,Volume,
May,"8,",2026,"1,426.00","1,442.80","1,417.50","1,435.20","1,435.20","8,662,241"
May,"7,",2026,"1,438.80","1,449.50","1,430.30","1,436.20","1,436.20","19,816,903"
May,"6,",2026,"1,463.00","1,473.30","1,427.50","1,437.90","1,437.90","14,221,786"
May,"5,",2026,"1,460.00","1,473.40","1,450.00","1,463.60","1,463.60","23,543,341"
May,"4,",2026,"1,433.40","1,467.40","1,433.40","1,463.10","1,463.10","24,035,700"
May,"1,",2026,"1,430.80","1,430.80","1,430.80","1,430.80","1,430.80",-
Apr,"30,",2026,"1,409.00","1,437.00","1,393.10","1,430.80","1,430.80","30,957,881"
Apr,"29,",2026,"1,392.00","1,433.80","1,391.30","1,425.40","1,425.40","30,542,143"
Apr,"28,",2026,"1,358.00","1,395.20","1,357.00","1,388.90","1,388.90","41,027,699"
Apr,"27,",2026,"1,313.00","1,371.60","1,311.00","1,365.80","1,365.80","24,673,098"
Apr,"24,",2026,"1,340.00","1,345.90","1,325.00","1,327.80","1,327.80","11,744,802"
Apr,"23,",2026,"1,346.00","1,355.50","1,340.70","1,343.40","1,343.40","16,385,079"
Apr,"22,",2026,"1,350.30","1,366.00","1,349.10","1,362.10","1,362.10","9,525,953"
Apr,"21,",2026,"1,359.00","1,369.80","1,350.10","1,353.30","1,353.30","27,293,629"
Apr,"20,",2026,"1,363.20","1,373.00","1,352.80","1,363.30","1,363.30","13,614,733"
Apr,"17,",2026,"1,340.00","1,368.40","1,340.00","1,365.00","1,365.00","13,869,105"
Apr,"16,",2026,"1,352.00","1,353.80","1,330.00","1,343.30","1,343.30","30,211,012"
Apr,"15,",2026,"1,337.00","1,347.00","1,334.20","1,344.10","1,344.10","15,313,779"
Apr,"13,",2026,"1,321.20","1,327.60","1,310.00","1,315.10","1,315.10","28,753,269"
Apr,"10,",2026,"1,337.00","1,352.30","1,331.50","1,350.20","1,350.20","19,364,461"
